track_ids,track_names,artists,first_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,mood
6ft9PAgNOjmZ2kFVP7LGqb,Can't Take My Eyes off You,['Frankie Valli'],Frankie Valli,0.575,0.764,4,-7.448,1,0.0746,0.566,1.07e-05,0.0692,0.536,123.821,audio_features,6ft9PAgNOjmZ2kFVP7LGqb,spotify:track:6ft9PAgNOjmZ2kFVP7LGqb,https://api.spotify.com/v1/tracks/6ft9PAgNOjmZ2kFVP7LGqb,https://api.spotify.com/v1/audio-analysis/6ft9PAgNOjmZ2kFVP7LGqb,203240,4,Happy
7JgNAnCjJvL8hBR1kmCOFF,Worth It.,['RAYE'],RAYE,0.736,0.483,8,-7.85,1,0.0682,0.505,1.39e-05,0.351,0.606,109.932,audio_features,7JgNAnCjJvL8hBR1kmCOFF,spotify:track:7JgNAnCjJvL8hBR1kmCOFF,https://api.spotify.com/v1/tracks/7JgNAnCjJvL8hBR1kmCOFF,https://api.spotify.com/v1/audio-analysis/7JgNAnCjJvL8hBR1kmCOFF,246813,4,Happy
3KkXRkHbMCARz0aVfEt68P,Sunflower - Spider-Man: Into the Spider-Verse,"['Post Malone', 'Swae Lee']",Post Malone,0.76,0.478,2,-5.574,1,0.0467,0.552,0.0,0.0703,0.913,89.908,audio_features,3KkXRkHbMCARz0aVfEt68P,spotify:track:3KkXRkHbMCARz0aVfEt68P,https://api.spotify.com/v1/tracks/3KkXRkHbMCARz0aVfEt68P,https://api.spotify.com/v1/audio-analysis/3KkXRkHbMCARz0aVfEt68P,158040,4,Happy
3FeyEh29dmM6pAtR90GJC7,Good Life,['Ryan Mack'],Ryan Mack,0.808,0.773,5,-5.097,1,0.0343,0.493,0.0,0.06,0.908,95.993,audio_features,3FeyEh29dmM6pAtR90GJC7,spotify:track:3FeyEh29dmM6pAtR90GJC7,https://api.spotify.com/v1/tracks/3FeyEh29dmM6pAtR90GJC7,https://api.spotify.com/v1/audio-analysis/3FeyEh29dmM6pAtR90GJC7,173749,4,Happy
3h5TiWTqGxjSjFrbruPFH9,Praise Jah In The Moonlight,['YG Marley'],YG Marley,0.66,0.727,6,-4.028,0,0.0441,0.128,1.31e-05,0.524,0.418,125.023,audio_features,3h5TiWTqGxjSjFrbruPFH9,spotify:track:3h5TiWTqGxjSjFrbruPFH9,https://api.spotify.com/v1/tracks/3h5TiWTqGxjSjFrbruPFH9,https://api.spotify.com/v1/audio-analysis/3h5TiWTqGxjSjFrbruPFH9,263040,4,Happy
3zEN0ii6s4DHHBpnTp3RP7,We Are The People,['Empire Of The Sun'],Empire Of The Sun,0.675,0.781,4,-5.404,0,0.0306,0.0801,0.0143,0.422,0.534,122.989,audio_features,3zEN0ii6s4DHHBpnTp3RP7,spotify:track:3zEN0ii6s4DHHBpnTp3RP7,https://api.spotify.com/v1/tracks/3zEN0ii6s4DHHBpnTp3RP7,https://api.spotify.com/v1/audio-analysis/3zEN0ii6s4DHHBpnTp3RP7,267373,4,Happy
2lRBYUc9UNOMoeFaKxa6lh,Beautiful People (Stay High),['The Black Keys'],The Black Keys,0.589,0.852,7,-2.075,1,0.0472,0.194,0.00215,0.257,0.611,94.975,audio_features,2lRBYUc9UNOMoeFaKxa6lh,spotify:track:2lRBYUc9UNOMoeFaKxa6lh,https://api.spotify.com/v1/tracks/2lRBYUc9UNOMoeFaKxa6lh,https://api.spotify.com/v1/audio-analysis/2lRBYUc9UNOMoeFaKxa6lh,167312,4,Happy
7lw4J2RfcPs2hEJgPY44lC,Run Your Mouth,['The Marías'],The Marías,0.782,0.652,7,-6.787,1,0.0376,0.244,0.0364,0.21,0.927,111.021,audio_features,7lw4J2RfcPs2hEJgPY44lC,spotify:track:7lw4J2RfcPs2hEJgPY44lC,https://api.spotify.com/v1/tracks/7lw4J2RfcPs2hEJgPY44lC,https://api.spotify.com/v1/audio-analysis/7lw4J2RfcPs2hEJgPY44lC,160000,4,Happy
769Ld8demNhMgVLAQcjTDn,sun and moon,['anees'],anees,0.815,0.442,6,-7.462,0,0.107,0.457,0.0,0.101,0.706,90.019,audio_features,769Ld8demNhMgVLAQcjTDn,spotify:track:769Ld8demNhMgVLAQcjTDn,https://api.spotify.com/v1/tracks/769Ld8demNhMgVLAQcjTDn,https://api.spotify.com/v1/audio-analysis/769Ld8demNhMgVLAQcjTDn,151508,4,Happy
5c1rWQAa8GX8LgCC9h3d1N,American Love,['Qing Madi'],Qing Madi,0.415,0.786,0,-5.604,0,0.172,0.379,0.0,0.153,0.458,192.408,audio_features,5c1rWQAa8GX8LgCC9h3d1N,spotify:track:5c1rWQAa8GX8LgCC9h3d1N,https://api.spotify.com/v1/tracks/5c1rWQAa8GX8LgCC9h3d1N,https://api.spotify.com/v1/audio-analysis/5c1rWQAa8GX8LgCC9h3d1N,189016,4,Happy
