danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.677,0.401,9,-8.467,1,0.0308,0.712,0.0,0.116,0.195,111.825,audio_features,0qvzXomUDJVaUboy2wMfiS,spotify:track:0qvzXomUDJVaUboy2wMfiS,https://api.spotify.com/v1/tracks/0qvzXomUDJVaUboy2wMfiS,https://api.spotify.com/v1/audio-analysis/0qvzXomUDJVaUboy2wMfiS,232852,4
0.449,0.353,7,-12.986,1,0.0915,0.942,0.0786,0.109,0.55,165.888,audio_features,4KGGeE7RJsgLNZmnxGFlOj,spotify:track:4KGGeE7RJsgLNZmnxGFlOj,https://api.spotify.com/v1/tracks/4KGGeE7RJsgLNZmnxGFlOj,https://api.spotify.com/v1/audio-analysis/4KGGeE7RJsgLNZmnxGFlOj,173640,4
0.311,0.485,6,-5.726,0,0.0365,0.701,0.0,0.0726,0.225,77.355,audio_features,55Am8neGJkdj2ADaM3aw5H,spotify:track:55Am8neGJkdj2ADaM3aw5H,https://api.spotify.com/v1/tracks/55Am8neGJkdj2ADaM3aw5H,https://api.spotify.com/v1/audio-analysis/55Am8neGJkdj2ADaM3aw5H,208827,4
0.744,0.396,0,-13.712,1,0.057,0.509,0.00319,0.121,0.18,102.969,audio_features,3CWq0pAKKTWb0K4yiglDc4,spotify:track:3CWq0pAKKTWb0K4yiglDc4,https://api.spotify.com/v1/tracks/3CWq0pAKKTWb0K4yiglDc4,https://api.spotify.com/v1/audio-analysis/3CWq0pAKKTWb0K4yiglDc4,277832,4
0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,audio_features,0gplL1WMoJ6iYaPgMCL0gX,spotify:track:0gplL1WMoJ6iYaPgMCL0gX,https://api.spotify.com/v1/tracks/0gplL1WMoJ6iYaPgMCL0gX,https://api.spotify.com/v1/audio-analysis/0gplL1WMoJ6iYaPgMCL0gX,224695,4
0.545,0.366,2,-9.51,1,0.0378,0.969,0.267,0.641,0.1,86.997,audio_features,0QZ5yyl6B6utIWkxeBDxQN,spotify:track:0QZ5yyl6B6utIWkxeBDxQN,https://api.spotify.com/v1/tracks/0QZ5yyl6B6utIWkxeBDxQN,https://api.spotify.com/v1/audio-analysis/0QZ5yyl6B6utIWkxeBDxQN,208212,3
0.473,0.203,2,-12.627,1,0.102,0.941,0.0,0.126,0.419,168.884,audio_features,4wcBRRpIfesgcyUtis7PEg,spotify:track:4wcBRRpIfesgcyUtis7PEg,https://api.spotify.com/v1/tracks/4wcBRRpIfesgcyUtis7PEg,https://api.spotify.com/v1/audio-analysis/4wcBRRpIfesgcyUtis7PEg,163587,4
0.437,0.381,1,-10.254,1,0.245,0.73,0.000284,0.135,0.435,182.568,audio_features,4WefXOf8I4gMjdj2kBJgkl,spotify:track:4WefXOf8I4gMjdj2kBJgkl,https://api.spotify.com/v1/tracks/4WefXOf8I4gMjdj2kBJgkl,https://api.spotify.com/v1/audio-analysis/4WefXOf8I4gMjdj2kBJgkl,224835,4
0.46,0.326,4,-8.226,1,0.0304,0.763,0.0,0.0874,0.214,134.049,audio_features,0UaaFmF3xUwMjnuAHBq7qL,spotify:track:0UaaFmF3xUwMjnuAHBq7qL,https://api.spotify.com/v1/tracks/0UaaFmF3xUwMjnuAHBq7qL,https://api.spotify.com/v1/audio-analysis/0UaaFmF3xUwMjnuAHBq7qL,244187,4
0.665,0.719,1,-6.897,1,0.0328,0.384,0.0,0.118,0.491,112.473,audio_features,6eI8B3QW20P68MCYMb4Etd,spotify:track:6eI8B3QW20P68MCYMb4Etd,https://api.spotify.com/v1/tracks/6eI8B3QW20P68MCYMb4Etd,https://api.spotify.com/v1/audio-analysis/6eI8B3QW20P68MCYMb4Etd,162224,4
0.299,0.142,2,-15.134,1,0.0369,0.965,0.113,0.111,0.123,76.748,audio_features,709p9UGPAuyImWf1Z3vjRo,spotify:track:709p9UGPAuyImWf1Z3vjRo,https://api.spotify.com/v1/tracks/709p9UGPAuyImWf1Z3vjRo,https://api.spotify.com/v1/audio-analysis/709p9UGPAuyImWf1Z3vjRo,269067,4
