track_ids,track_names,artists,first_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,mood
2DccHqTquzubziHAPZRdct,B-Side,"['Khruangbin', 'Leon Bridges']",Khruangbin,0.732,0.734,7,-10.574,1,0.0541,0.0777,0.172,0.327,0.687,104.764,audio_features,2DccHqTquzubziHAPZRdct,spotify:track:2DccHqTquzubziHAPZRdct,https://api.spotify.com/v1/tracks/2DccHqTquzubziHAPZRdct,https://api.spotify.com/v1/audio-analysis/2DccHqTquzubziHAPZRdct,274391,4,Happy
3VgrSJEKBRT3xmwzpaxxEF,(Love Is Like A) Heat Wave,['Martha Reeves & The Vandellas'],Martha Reeves & The Vandellas,0.514,0.624,0,-9.287,0,0.0842,0.513,0.00517,0.307,0.755,166.726,audio_features,3VgrSJEKBRT3xmwzpaxxEF,spotify:track:3VgrSJEKBRT3xmwzpaxxEF,https://api.spotify.com/v1/tracks/3VgrSJEKBRT3xmwzpaxxEF,https://api.spotify.com/v1/audio-analysis/3VgrSJEKBRT3xmwzpaxxEF,163053,4,Happy
0DGTcMqvVR7fmBXgiG6jz4,Just A Cloud Away,['Pharrell Williams'],Pharrell Williams,0.89,0.46,2,-8.155,1,0.0359,0.432,0.0,0.11,0.677,112.555,audio_features,0DGTcMqvVR7fmBXgiG6jz4,spotify:track:0DGTcMqvVR7fmBXgiG6jz4,https://api.spotify.com/v1/tracks/0DGTcMqvVR7fmBXgiG6jz4,https://api.spotify.com/v1/audio-analysis/0DGTcMqvVR7fmBXgiG6jz4,176078,3,Happy
2oZmMp5M6L0Rh7G84Um2tF,Chain of Fools,['Aretha Franklin'],Aretha Franklin,0.721,0.567,10,-9.516,1,0.0389,0.221,0.0,0.465,0.914,116.643,audio_features,2oZmMp5M6L0Rh7G84Um2tF,spotify:track:2oZmMp5M6L0Rh7G84Um2tF,https://api.spotify.com/v1/tracks/2oZmMp5M6L0Rh7G84Um2tF,https://api.spotify.com/v1/audio-analysis/2oZmMp5M6L0Rh7G84Um2tF,167067,4,Happy
7FS541dJh3iQAEXEZoDhE6,Twistin' the Night Away,['Sam Cooke'],Sam Cooke,0.458,0.801,9,-7.83,1,0.0565,0.691,0.0,0.328,0.93,160.547,audio_features,7FS541dJh3iQAEXEZoDhE6,spotify:track:7FS541dJh3iQAEXEZoDhE6,https://api.spotify.com/v1/tracks/7FS541dJh3iQAEXEZoDhE6,https://api.spotify.com/v1/audio-analysis/7FS541dJh3iQAEXEZoDhE6,159853,4,Happy
6LzjgzpVl0hB3YrBU1b8Z1,The Boss,"['James Brown', ""The J.B.'s""]",James Brown,0.736,0.354,1,-14.709,1,0.0475,0.579,0.0103,0.0757,0.62,97.924,audio_features,6LzjgzpVl0hB3YrBU1b8Z1,spotify:track:6LzjgzpVl0hB3YrBU1b8Z1,https://api.spotify.com/v1/tracks/6LzjgzpVl0hB3YrBU1b8Z1,https://api.spotify.com/v1/audio-analysis/6LzjgzpVl0hB3YrBU1b8Z1,194867,4,Happy
7wLRmjiDYI6flIVzboUqSV,You've Really Got A Hold On Me,['The Miracles'],The Miracles,0.68,0.448,0,-8.398,1,0.0302,0.698,0.0,0.227,0.567,118.461,audio_features,7wLRmjiDYI6flIVzboUqSV,spotify:track:7wLRmjiDYI6flIVzboUqSV,https://api.spotify.com/v1/tracks/7wLRmjiDYI6flIVzboUqSV,https://api.spotify.com/v1/audio-analysis/7wLRmjiDYI6flIVzboUqSV,177707,3,Happy
00kvKlIvfzQLSi6T2zwXuS,Strawberry Letter 23,['The Brothers Johnson'],The Brothers Johnson,0.73,0.622,7,-11.7,0,0.0532,0.269,0.00874,0.111,0.752,90.973,audio_features,00kvKlIvfzQLSi6T2zwXuS,spotify:track:00kvKlIvfzQLSi6T2zwXuS,https://api.spotify.com/v1/tracks/00kvKlIvfzQLSi6T2zwXuS,https://api.spotify.com/v1/audio-analysis/00kvKlIvfzQLSi6T2zwXuS,299067,4,Happy
62r1CS9zL1FL5Ilb7hLX7n,Take Me to the River,['Al Green'],Al Green,0.786,0.418,9,-11.115,1,0.0432,0.218,0.000158,0.134,0.94,119.101,audio_features,62r1CS9zL1FL5Ilb7hLX7n,spotify:track:62r1CS9zL1FL5Ilb7hLX7n,https://api.spotify.com/v1/tracks/62r1CS9zL1FL5Ilb7hLX7n,https://api.spotify.com/v1/audio-analysis/62r1CS9zL1FL5Ilb7hLX7n,225373,4,Happy
2gliw3L0oa4w8LqaHploje,Cruisin',['Smokey Robinson'],Smokey Robinson,0.498,0.63,6,-5.808,0,0.0276,0.416,0.0,0.238,0.822,169.115,audio_features,2gliw3L0oa4w8LqaHploje,spotify:track:2gliw3L0oa4w8LqaHploje,https://api.spotify.com/v1/tracks/2gliw3L0oa4w8LqaHploje,https://api.spotify.com/v1/audio-analysis/2gliw3L0oa4w8LqaHploje,352920,4,Happy
3sTc75CCyIw4FPs6cXkOe7,Save Room,['John Legend'],John Legend,0.69,0.572,7,-6.131,1,0.0264,0.0451,0.0,0.0969,0.375,111.92,audio_features,3sTc75CCyIw4FPs6cXkOe7,spotify:track:3sTc75CCyIw4FPs6cXkOe7,https://api.spotify.com/v1/tracks/3sTc75CCyIw4FPs6cXkOe7,https://api.spotify.com/v1/audio-analysis/3sTc75CCyIw4FPs6cXkOe7,235667,4,Happy
72PoJMDfdaw9gGECgA9kTZ,Nothing From Nothing,['Billy Preston'],Billy Preston,0.808,0.83,9,-3.995,0,0.0283,0.613,0.0112,0.198,0.909,102.8,audio_features,72PoJMDfdaw9gGECgA9kTZ,spotify:track:72PoJMDfdaw9gGECgA9kTZ,https://api.spotify.com/v1/tracks/72PoJMDfdaw9gGECgA9kTZ,https://api.spotify.com/v1/audio-analysis/72PoJMDfdaw9gGECgA9kTZ,156200,4,Happy
5yQ9iMZXGcr5rlO4hoLsP4,"What'd I Say, Pt. 1 & 2",['Ray Charles'],Ray Charles,0.54,0.681,4,-5.44,1,0.0508,0.808,0.0,0.162,0.794,88.385,audio_features,5yQ9iMZXGcr5rlO4hoLsP4,spotify:track:5yQ9iMZXGcr5rlO4hoLsP4,https://api.spotify.com/v1/tracks/5yQ9iMZXGcr5rlO4hoLsP4,https://api.spotify.com/v1/audio-analysis/5yQ9iMZXGcr5rlO4hoLsP4,307053,4,Happy
5AoTuHE5P5bvC7BBppYnja,Respect - 2003 Remaster,['Aretha Franklin'],Aretha Franklin,0.744,0.611,0,-6.386,1,0.0333,0.0723,0.000532,0.0692,0.961,114.991,audio_features,5AoTuHE5P5bvC7BBppYnja,spotify:track:5AoTuHE5P5bvC7BBppYnja,https://api.spotify.com/v1/tracks/5AoTuHE5P5bvC7BBppYnja,https://api.spotify.com/v1/audio-analysis/5AoTuHE5P5bvC7BBppYnja,142187,4,Happy
6vcG9EgeqJUSmmF65lxUm6,One Fine Day,['The Chiffons'],The Chiffons,0.251,0.868,1,-2.685,1,0.128,0.488,7.34e-06,0.814,0.599,177.13,audio_features,6vcG9EgeqJUSmmF65lxUm6,spotify:track:6vcG9EgeqJUSmmF65lxUm6,https://api.spotify.com/v1/tracks/6vcG9EgeqJUSmmF65lxUm6,https://api.spotify.com/v1/audio-analysis/6vcG9EgeqJUSmmF65lxUm6,128200,4,Happy
241RmK77gecJ1y7jOoQ5lu,This Will Be (An Everlasting Love) - 2003 Remaster,['Natalie Cole'],Natalie Cole,0.682,0.605,8,-10.771,1,0.0403,0.185,0.00326,0.0469,0.914,125.96,audio_features,241RmK77gecJ1y7jOoQ5lu,spotify:track:241RmK77gecJ1y7jOoQ5lu,https://api.spotify.com/v1/tracks/241RmK77gecJ1y7jOoQ5lu,https://api.spotify.com/v1/audio-analysis/241RmK77gecJ1y7jOoQ5lu,171360,4,Happy
2zyTP97uGsIc1C4KNNEkyn,Across 110th Street,['Bobby Womack'],Bobby Womack,0.476,0.585,11,-14.211,0,0.0478,0.107,1.43e-05,0.149,0.523,110.275,audio_features,2zyTP97uGsIc1C4KNNEkyn,spotify:track:2zyTP97uGsIc1C4KNNEkyn,https://api.spotify.com/v1/tracks/2zyTP97uGsIc1C4KNNEkyn,https://api.spotify.com/v1/audio-analysis/2zyTP97uGsIc1C4KNNEkyn,230507,4,Happy
7zrPswSV1yxrill5OyCuaU,Pusherman,['Curtis Mayfield'],Curtis Mayfield,0.851,0.669,10,-9.562,1,0.0379,0.239,0.0852,0.108,0.911,126.624,audio_features,7zrPswSV1yxrill5OyCuaU,spotify:track:7zrPswSV1yxrill5OyCuaU,https://api.spotify.com/v1/tracks/7zrPswSV1yxrill5OyCuaU,https://api.spotify.com/v1/audio-analysis/7zrPswSV1yxrill5OyCuaU,300693,4,Happy
3YJx77Xx8JSwEoxqrkQO5c,Knock on Wood,['Eddie Floyd'],Eddie Floyd,0.864,0.346,4,-12.918,1,0.0365,0.277,0.00521,0.0514,0.964,105.164,audio_features,3YJx77Xx8JSwEoxqrkQO5c,spotify:track:3YJx77Xx8JSwEoxqrkQO5c,https://api.spotify.com/v1/tracks/3YJx77Xx8JSwEoxqrkQO5c,https://api.spotify.com/v1/audio-analysis/3YJx77Xx8JSwEoxqrkQO5c,189840,4,Happy
4TBBPZks71c60whhq0PgdP,(Your Love Keeps Lifting Me) Higher & Higher,['Jackie Wilson'],Jackie Wilson,0.631,0.69,2,-6.676,1,0.0531,0.176,0.0,0.121,0.938,94.574,audio_features,4TBBPZks71c60whhq0PgdP,spotify:track:4TBBPZks71c60whhq0PgdP,https://api.spotify.com/v1/tracks/4TBBPZks71c60whhq0PgdP,https://api.spotify.com/v1/audio-analysis/4TBBPZks71c60whhq0PgdP,181067,4,Happy
4pW3aTX3kAmOaPJfc9UM12,Express Yourself,['Charles Wright & The Watts 103rd Street Rhythm Band'],Charles Wright & The Watts 103rd Street Rhythm Band,0.789,0.683,8,-8.835,1,0.086,0.48,0.0,0.35,0.882,92.311,audio_features,4pW3aTX3kAmOaPJfc9UM12,spotify:track:4pW3aTX3kAmOaPJfc9UM12,https://api.spotify.com/v1/tracks/4pW3aTX3kAmOaPJfc9UM12,https://api.spotify.com/v1/audio-analysis/4pW3aTX3kAmOaPJfc9UM12,233613,4,Happy
